Comment,Designator,Footprint,LCSC
Screw_Terminal_01x02_green,"J1,J2,J3,J4",0_connectors:TerminalBlock_bornier-2_P5.08mm-green,C395849
Screw_Terminal_01x02_blue,"J5,J6,J7,J8",0_connectors:TerminalBlock_bornier-2_P5.08mm-blue,C430621
